,y,Close-0,Close-1,Close-2,Close-3,Close-4,Close-5,Close-6,Close-7,Close-8,Close-9
6167,0,222.2706,222.2796,222.828,222.4145,222.0099,222.4414,222.3336,221.8391,221.965,222.2257
6168,1,219.1332,222.2706,222.2796,222.828,222.4145,222.0099,222.4414,222.3336,221.8391,221.965
6169,1,219.4568,219.1332,222.2706,222.2796,222.828,222.4145,222.0099,222.4414,222.3336,221.8391
6170,0,221.6324,219.4568,219.1332,222.2706,222.2796,222.828,222.4145,222.0099,222.4414,222.3336
6171,1,221.6054,221.6324,219.4568,219.1332,222.2706,222.2796,222.828,222.4145,222.0099,222.4414
6172,0,221.9919,221.6054,221.6324,219.4568,219.1332,222.2706,222.2796,222.828,222.4145,222.0099
6173,0,218.5309,221.9919,221.6054,221.6324,219.4568,219.1332,222.2706,222.2796,222.828,222.4145
6174,1,218.1893,218.5309,221.9919,221.6054,221.6324,219.4568,219.1332,222.2706,222.2796,222.828
6175,1,218.3601,218.1893,218.5309,221.9919,221.6054,221.6324,219.4568,219.1332,222.2706,222.2796
6176,0,220.6435,218.3601,218.1893,218.5309,221.9919,221.6054,221.6324,219.4568,219.1332,222.2706
6177,0,219.8524,220.6435,218.3601,218.1893,218.5309,221.9919,221.6054,221.6324,219.4568,219.1332
6178,1,219.34,219.8524,220.6435,218.3601,218.1893,218.5309,221.9919,221.6054,221.6324,219.4568
6179,1,219.8524,219.34,219.8524,220.6435,218.3601,218.1893,218.5309,221.9919,221.6054,221.6324
6180,1,219.8614,219.8524,219.34,219.8524,220.6435,218.3601,218.1893,218.5309,221.9919,221.6054
6181,1,220.1131,219.8614,219.8524,219.34,219.8524,220.6435,218.3601,218.1893,218.5309,221.9919
6182,1,221.1559,220.1131,219.8614,219.8524,219.34,219.8524,220.6435,218.3601,218.1893,218.5309
6183,1,222.4864,221.1559,220.1131,219.8614,219.8524,219.34,219.8524,220.6435,218.3601,218.1893
6184,0,222.801,222.4864,221.1559,220.1131,219.8614,219.8524,219.34,219.8524,220.6435,218.3601
6185,1,221.2009,222.801,222.4864,221.1559,220.1131,219.8614,219.8524,219.34,219.8524,220.6435
6186,0,221.956,221.2009,222.801,222.4864,221.1559,220.1131,219.8614,219.8524,219.34,219.8524
6187,0,221.929,221.956,221.2009,222.801,222.4864,221.1559,220.1131,219.8614,219.8524,219.34
6188,1,221.6683,221.929,221.956,221.2009,222.801,222.4864,221.1559,220.1131,219.8614,219.8524
6189,1,224.0326,221.6683,221.929,221.956,221.2009,222.801,222.4864,221.1559,220.1131,219.8614
6190,1,224.7878,224.0326,221.6683,221.929,221.956,221.2009,222.801,222.4864,221.1559,220.1131
6191,0,224.8956,224.7878,224.0326,221.6683,221.929,221.956,221.2009,222.801,222.4864,221.1559
6192,1,224.8237,224.8956,224.7878,224.0326,221.6683,221.929,221.956,221.2009,222.801,222.4864
6193,1,225.1259,224.8237,224.8956,224.7878,224.0326,221.6683,221.929,221.956,221.2009,222.801
6194,1,225.6047,225.1259,224.8237,224.8956,224.7878,224.0326,221.6683,221.929,221.956,221.2009
6195,1,225.8305,225.6047,225.1259,224.8237,224.8956,224.7878,224.0326,221.6683,221.929,221.956
6196,0,225.9118,225.8305,225.6047,225.1259,224.8237,224.8956,224.7878,224.0326,221.6683,221.929
6197,1,225.3065,225.9118,225.8305,225.6047,225.1259,224.8237,224.8956,224.7878,224.0326,221.6683
6198,0,225.3517,225.3065,225.9118,225.8305,225.6047,225.1259,224.8237,224.8956,224.7878,224.0326
6199,1,224.891,225.3517,225.3065,225.9118,225.8305,225.6047,225.1259,224.8237,224.8956,224.7878
6200,1,225.0265,224.891,225.3517,225.3065,225.9118,225.8305,225.6047,225.1259,224.8237,224.8956
6201,1,225.9028,225.0265,224.891,225.3517,225.3065,225.9118,225.8305,225.6047,225.1259,224.8237
6202,1,226.1738,225.9028,225.0265,224.891,225.3517,225.3065,225.9118,225.8305,225.6047,225.1259
6203,1,226.9689,226.1738,225.9028,225.0265,224.891,225.3517,225.3065,225.9118,225.8305,225.6047
6204,1,227.9536,226.9689,226.1738,225.9028,225.0265,224.891,225.3517,225.3065,225.9118,225.8305
6205,1,228.4415,227.9536,226.9689,226.1738,225.9028,225.0265,224.891,225.3517,225.3065,225.9118
6206,1,228.7125,228.4415,227.9536,226.9689,226.1738,225.9028,225.0265,224.891,225.3517,225.3065
6207,0,230.0676,228.7125,228.4415,227.9536,226.9689,226.1738,225.9028,225.0265,224.891,225.3517
6208,0,229.8056,230.0676,228.7125,228.4415,227.9536,226.9689,226.1738,225.9028,225.0265,224.891
6209,1,229.4262,229.8056,230.0676,228.7125,228.4415,227.9536,226.9689,226.1738,225.9028,225.0265
6210,1,230.0315,229.4262,229.8056,230.0676,228.7125,228.4415,227.9536,226.9689,226.1738,225.9028
6211,0,230.3929,230.0315,229.4262,229.8056,230.0676,228.7125,228.4415,227.9536,226.9689,226.1738
6212,1,230.0495,230.3929,230.0315,229.4262,229.8056,230.0676,228.7125,228.4415,227.9536,226.9689
6213,1,230.3296,230.0495,230.3929,230.0315,229.4262,229.8056,230.0676,228.7125,228.4415,227.9536
6214,1,230.6368,230.3296,230.0495,230.3929,230.0315,229.4262,229.8056,230.0676,228.7125,228.4415
6215,1,230.7994,230.6368,230.3296,230.0495,230.3929,230.0315,229.4262,229.8056,230.0676,228.7125
