Date,Close
8/4/2017,229.91005
8/7/2017,230.1607
8/8/2017,230.32397
8/9/2017,230.6
8/10/2017,230.86345
8/11/2017,231.17732
8/14/2017,231.44148
8/15/2017,231.74295
8/16/2017,231.90495
8/17/2017,232.05676
8/18/2017,232.20557
8/21/2017,232.2896
8/22/2017,232.38393
8/23/2017,232.55266
8/24/2017,232.77924
8/25/2017,232.95322
8/28/2017,233.23706
8/29/2017,233.51404
8/30/2017,233.77034
8/31/2017,234.05696
9/1/2017,234.24858
9/5/2017,234.362
9/6/2017,234.44925
9/7/2017,234.28368
9/8/2017,234.24207
9/11/2017,234.1451
9/12/2017,234.0601
9/13/2017,234.1387
9/14/2017,234.27165
9/15/2017,234.52098
9/18/2017,234.82506
9/19/2017,235.30183
9/20/2017,235.72449
9/21/2017,236.26448
9/22/2017,236.87938
9/25/2017,237.48795
9/26/2017,237.98781
9/27/2017,238.45753
9/28/2017,238.66766
9/29/2017,238.83955
10/2/2017,239.05632
10/3/2017,239.3564
10/4/2017,239.7174
10/5/2017,240.23729
10/6/2017,240.73497
10/9/2017,241.21153
10/10/2017,241.59947
10/11/2017,241.92632
10/12/2017,242.35838
10/13/2017,242.71423
10/16/2017,242.94592
10/17/2017,243.19713
10/18/2017,243.32462
10/19/2017,243.38478
10/20/2017,243.53316
10/23/2017,243.8035
10/24/2017,244.18092
10/25/2017,244.76376
10/26/2017,245.65196
10/27/2017,246.63188
10/30/2017,247.63632
10/31/2017,248.69426
11/1/2017,249.5208
11/2/2017,250.0674
11/3/2017,250.93964
11/6/2017,251.66763
11/7/2017,252.63911
11/8/2017,253.68388
11/9/2017,254.81451
11/10/2017,255.77281
11/13/2017,256.56784
11/14/2017,257.6379
11/15/2017,258.23776
11/16/2017,258.56738
11/17/2017,258.68942
11/20/2017,258.49332
11/21/2017,257.55005
11/22/2017,255.37318
11/24/2017,253.2555
11/27/2017,250.8507
11/28/2017,247.84976
11/29/2017,245.3576
11/30/2017,243.71829
12/1/2017,242.51242
12/4/2017,241.98305
12/5/2017,242.5446
12/6/2017,243.61667
12/7/2017,244.77943
12/8/2017,246.10736
12/11/2017,246.67184
12/12/2017,247.2672
12/13/2017,248.0326
12/14/2017,248.28146
12/15/2017,248.7067
12/18/2017,249.01616
12/19/2017,249.01006
12/20/2017,248.13127
12/21/2017,247.30118
12/22/2017,246.88948
12/26/2017,246.68112
12/27/2017,247.61743
12/28/2017,248.86359
12/29/2017,249.99155
1/2/2018,251.03477
1/3/2018,251.42297
1/4/2018,251.47198
1/5/2018,250.92062
1/8/2018,250.11307
1/9/2018,249.47897
1/10/2018,248.61534
1/11/2018,247.13026
1/12/2018,246.10207
1/16/2018,244.72787
1/17/2018,243.00574
1/18/2018,241.42166
1/19/2018,240.44739
1/22/2018,239.60695
1/23/2018,239.10298
1/24/2018,239.19276
1/25/2018,238.9586
1/26/2018,239.50616
1/29/2018,239.94464
1/30/2018,239.99098
1/31/2018,240.15332
2/1/2018,240.58943
2/2/2018,241.36954
2/5/2018,242.20497
2/6/2018,243.51343
2/7/2018,244.48767
2/8/2018,244.7215
2/9/2018,245.12334
2/12/2018,244.6899
2/13/2018,243.86871
2/14/2018,243.49068
2/15/2018,242.7093
2/16/2018,242.30756
2/20/2018,242.34386
2/21/2018,242.29834
2/22/2018,242.39809
2/23/2018,241.9976
2/26/2018,242.04787
2/27/2018,242.10483
2/28/2018,242.76263
3/1/2018,243.63257
3/2/2018,244.54936
3/5/2018,245.99374
3/6/2018,246.8479
3/7/2018,247.61066
3/8/2018,248.04344
3/9/2018,248.01106
3/12/2018,247.82707
3/13/2018,248.09047
3/14/2018,248.32286
3/15/2018,248.58986
3/16/2018,249.16626
3/19/2018,248.96191
3/20/2018,248.80545
3/21/2018,248.36609
3/22/2018,248.19354
3/23/2018,247.97708
3/26/2018,248.63248
3/27/2018,249.57762
3/28/2018,250.74188
3/29/2018,252.20667
4/2/2018,253.11806
4/3/2018,253.63576
4/4/2018,253.97125
4/5/2018,254.37294
4/6/2018,254.52264
4/9/2018,254.62221
4/10/2018,254.63068
4/11/2018,254.40634
4/12/2018,254.00217
4/13/2018,253.50089
4/16/2018,252.5637
4/17/2018,251.71931
4/18/2018,250.75998
4/19/2018,250.07104
4/20/2018,249.48763
4/23/2018,249.27687
4/24/2018,249.19461
4/25/2018,249.42686
4/26/2018,249.75089
4/27/2018,250.61809
4/30/2018,251.41771
5/1/2018,252.62535
5/2/2018,253.81032
5/3/2018,255.01384
5/4/2018,255.8286
5/7/2018,256.309
5/8/2018,256.7909
5/9/2018,256.9452
5/10/2018,257.04596
5/11/2018,257.15372
5/14/2018,257.28915
5/15/2018,257.43768
5/16/2018,257.922
5/17/2018,258.32495
5/18/2018,258.73666
5/21/2018,259.05765
5/22/2018,258.91858
5/23/2018,258.66592
5/24/2018,258.67566
5/25/2018,259.07877
5/29/2018,259.6882
5/30/2018,260.60965
5/31/2018,261.44943
6/1/2018,261.7259
6/4/2018,261.7416
6/5/2018,261.38968
6/6/2018,260.7888
6/7/2018,260.44165
6/8/2018,260.21738
6/11/2018,260.49283
6/12/2018,260.83698
6/13/2018,261.53674
6/14/2018,262.05374
6/15/2018,262.57657
6/18/2018,263.1285
6/19/2018,263.7433
6/20/2018,264.56036
6/21/2018,265.70572
6/22/2018,266.75198
6/25/2018,267.47134
6/26/2018,267.72745
6/27/2018,267.13422
6/28/2018,266.371
6/29/2018,265.54028
7/2/2018,265.16327
7/3/2018,265.06223
7/5/2018,265.46976
7/6/2018,266.07162
7/9/2018,266.51236
7/10/2018,266.9767
7/11/2018,267.11874
7/12/2018,267.25092
7/13/2018,267.57184
7/16/2018,267.9514
7/17/2018,268.47266
7/18/2018,269.06638
7/19/2018,269.2991
7/20/2018,269.16693
7/23/2018,268.97644
7/24/2018,268.7146
7/25/2018,268.7309
7/26/2018,268.71396
7/27/2018,268.54327
7/30/2018,268.1003
7/31/2018,267.35284
8/1/2018,265.78598
8/2/2018,263.26532
8/3/2018,260.86127
8/6/2018,258.51324
8/7/2018,256.6309
8/8/2018,255.643
8/9/2018,255.6977
8/10/2018,255.94357
8/13/2018,256.54395
8/14/2018,256.33762
8/15/2018,254.58145
8/16/2018,253.21953
8/17/2018,251.239
8/20/2018,249.49802
8/21/2018,248.21117
8/22/2018,247.69312
8/23/2018,247.40652
8/24/2018,247.62367
8/27/2018,248.62799
8/28/2018,249.7559
8/29/2018,251.17928
8/30/2018,252.7634
8/31/2018,253.87735
9/4/2018,254.8216
9/5/2018,255.63231
9/6/2018,254.88644
9/7/2018,253.97731
9/10/2018,252.47348
9/11/2018,251.12111
9/12/2018,249.69174
9/13/2018,248.6491
9/14/2018,247.76538
9/17/2018,246.85956
9/18/2018,246.41434
9/19/2018,246.44318
9/20/2018,247.02588
9/21/2018,248.52054
9/24/2018,249.8997
9/25/2018,251.15175
9/26/2018,251.71423
9/27/2018,251.15166
9/28/2018,250.09694
10/1/2018,248.57492
10/2/2018,247.09325
10/3/2018,246.03214
10/4/2018,245.12428
10/5/2018,244.26405
10/8/2018,243.10283
10/9/2018,241.48532
10/10/2018,239.62059
10/11/2018,236.95018
10/12/2018,234.9169
10/15/2018,233.0629
10/16/2018,231.74388
10/17/2018,230.932
10/18/2018,230.47336
10/19/2018,231.15804
10/22/2018,231.26114
10/23/2018,231.66402
10/24/2018,231.83617
10/25/2018,231.87582
10/26/2018,232.58842
10/29/2018,233.93095
10/30/2018,235.48752
10/31/2018,237.22273
11/1/2018,238.18646
11/2/2018,238.63446
11/5/2018,238.90445
11/6/2018,239.37286
11/7/2018,239.97319
11/8/2018,240.96315
11/9/2018,242.23067
11/12/2018,243.77824
11/13/2018,244.15639
11/14/2018,244.85652
11/15/2018,244.963
11/16/2018,245.11989
11/19/2018,245.7865
11/20/2018,246.53348
11/21/2018,248.04166
11/23/2018,249.73235
11/26/2018,250.90656
11/27/2018,251.9033
11/28/2018,252.19708
11/29/2018,251.9435
11/30/2018,251.79236
12/3/2018,251.81528
12/4/2018,252.79349
12/6/2018,253.95355
12/7/2018,255.35413
12/10/2018,256.29108
12/11/2018,256.65063
12/12/2018,257.42017
12/13/2018,257.8956
12/14/2018,258.3612
12/17/2018,259.07724
12/18/2018,259.68555
12/19/2018,259.8953
12/20/2018,260.09778
12/21/2018,259.93945
12/24/2018,259.1787
12/26/2018,258.30804
12/27/2018,257.74753
12/28/2018,257.4639
12/31/2018,257.75806
1/2/2019,258.7142
1/3/2019,260.00253
1/4/2019,261.12534
1/7/2019,262.1027
1/8/2019,262.50208
1/9/2019,262.8655
1/10/2019,262.9053
1/11/2019,262.9724
1/14/2019,262.93234
1/15/2019,262.77585
1/16/2019,262.33414
1/17/2019,262.1951
1/18/2019,262.5873
1/22/2019,263.3738
1/23/2019,264.31543
1/24/2019,265.41122
1/25/2019,266.60028
1/28/2019,267.68436
1/29/2019,268.34488
1/30/2019,268.86694
1/31/2019,269.21725
2/1/2019,269.50116
2/4/2019,269.68008
2/5/2019,269.84177
2/6/2019,270.35602
2/7/2019,270.71506
2/8/2019,270.98853
2/11/2019,271.42538
2/12/2019,271.5825
2/13/2019,271.92804
2/14/2019,272.32498
2/15/2019,272.8713
2/19/2019,273.50613
2/20/2019,273.57422
2/21/2019,273.426
2/22/2019,273.3152
2/25/2019,273.1507
2/26/2019,272.7403
2/27/2019,272.1044
2/28/2019,271.43152
3/1/2019,270.58783
3/4/2019,268.9965
3/5/2019,267.66953
3/6/2019,266.55768
3/7/2019,265.94138
3/8/2019,265.60672
3/11/2019,265.57788
3/12/2019,265.94995
3/13/2019,266.55133
3/14/2019,266.29205
3/15/2019,265.8426
3/18/2019,265.07672
3/19/2019,264.13037
3/20/2019,262.7423
3/21/2019,261.65833
3/22/2019,260.35138
3/25/2019,259.55563
3/26/2019,259.53275
3/27/2019,259.8127
3/28/2019,261.26068
3/29/2019,263.45392
4/1/2019,265.56046
4/2/2019,267.38678
4/3/2019,268.59702
4/4/2019,269.30627
4/5/2019,269.51855
4/8/2019,269.8785
4/9/2019,270.6374
4/10/2019,271.4465
4/11/2019,272.9304
4/12/2019,274.20932
4/15/2019,274.67773
4/16/2019,274.8344
4/17/2019,274.26855
4/18/2019,273.436
4/22/2019,273.26324
4/23/2019,273.71094
4/24/2019,275.13657
4/25/2019,277.01346
4/26/2019,278.30173
4/29/2019,279.22702
4/30/2019,279.3427
5/1/2019,279.30365
5/2/2019,279.4404
5/3/2019,280.04456
5/6/2019,281.15976
5/7/2019,281.71387
5/8/2019,281.98843
5/9/2019,281.51498
5/10/2019,280.38467
5/13/2019,279.78976
5/14/2019,279.56195
5/15/2019,279.61954
5/16/2019,280.8523
5/17/2019,282.1765
5/20/2019,283.11057
5/21/2019,283.2414
5/22/2019,282.45786
5/23/2019,280.54434
5/24/2019,277.71948
5/28/2019,275.00653
5/29/2019,272.8634
5/30/2019,271.99127
5/31/2019,272.00595
6/3/2019,272.46582
6/4/2019,273.26285
6/5/2019,273.1818
6/6/2019,271.7838
6/7/2019,270.31436
6/10/2019,269.6905
6/11/2019,269.58633
6/12/2019,270.48926
6/13/2019,272.17804
6/14/2019,272.92828
6/17/2019,272.7213
6/18/2019,271.9339
6/19/2019,270.526
6/20/2019,269.89197
6/21/2019,270.23965
6/24/2019,271.0096
6/25/2019,272.50934
6/26/2019,274.49228
6/27/2019,276.35046
6/28/2019,277.0504
7/1/2019,278.03534
7/2/2019,278.6093
7/3/2019,278.7228
7/5/2019,279.8069
7/8/2019,280.60944
7/9/2019,281.71362
7/10/2019,282.9424
7/11/2019,283.32437
7/12/2019,282.7405
7/15/2019,281.79865
7/16/2019,280.61816
7/17/2019,279.80624
