timestamp,open,high,low,close,volume
2023-09-24 18:00:00,14880.25,14915.0,14880.25,14913.25,3279
2023-09-24 18:30:00,14913.5,14914.0,14900.75,14900.75,1078
2023-09-24 19:00:00,14901.25,14903.0,14891.75,14895.75,1552
2023-09-24 19:30:00,14895.5,14906.5,14895.5,14898.5,1049
2023-09-24 20:00:00,14897.75,14898.5,14867.5,14879.0,3585
2023-09-24 20:30:00,14878.5,14889.0,14876.25,14888.25,1862
2023-09-24 21:00:00,14888.0,14910.0,14887.5,14904.5,3306
2023-09-24 21:30:00,14904.5,14921.0,14900.75,14902.5,3235
2023-09-24 22:00:00,14903.25,14915.5,14901.0,14909.5,1992
2023-09-24 22:30:00,14910.25,14919.5,14909.5,14916.5,1317
2023-09-24 23:00:00,14916.0,14927.75,14914.25,14926.5,1988
2023-09-24 23:30:00,14926.25,14926.25,14917.25,14922.0,1122
2023-09-25 00:00:00,14921.5,14926.5,14920.5,14925.75,892
2023-09-25 00:30:00,14925.75,14926.25,14916.25,14921.75,965
2023-09-25 01:00:00,14921.25,14933.25,14918.5,14925.5,1659
2023-09-25 01:30:00,14925.5,14926.25,14910.75,14912.0,1572
2023-09-25 02:00:00,14911.75,14926.0,14905.75,14910.75,2335
2023-09-25 02:30:00,14910.25,14923.5,14905.75,14915.75,1607
2023-09-25 03:00:00,14915.0,14938.75,14914.0,14936.0,3905
2023-09-25 03:30:00,14935.75,14946.0,14918.75,14923.75,3394
2023-09-25 04:00:00,14923.75,14931.25,14863.5,14867.5,6433
2023-09-25 04:30:00,14866.5,14867.0,14797.0,14838.75,14249
2023-09-25 05:00:00,14838.75,14865.5,14832.5,14860.5,7176
2023-09-25 05:30:00,14861.5,14861.75,14831.25,14856.25,4785
2023-09-25 06:00:00,14855.5,14874.5,14845.5,14868.0,3954
2023-09-25 06:30:00,14868.25,14869.25,14836.5,14857.25,4118
2023-09-25 07:00:00,14857.75,14870.75,14846.75,14851.75,3675
2023-09-25 07:30:00,14851.5,14854.75,14813.25,14821.75,7201
2023-09-25 08:00:00,14821.25,14837.75,14799.0,14824.75,7932
2023-09-25 08:30:00,14824.5,14846.0,14816.5,14821.0,9678
2023-09-25 09:00:00,14820.25,14826.75,14782.25,14825.5,16109
2023-09-25 09:30:00,14824.5,14896.5,14782.5,14876.0,67936
2023-09-25 10:00:00,14875.75,14885.0,14815.25,14828.75,48304
2023-09-25 10:30:00,14828.25,14866.75,14817.5,14818.0,36931
2023-09-25 11:00:00,14818.0,14917.5,14817.0,14896.5,40769
2023-09-25 11:30:00,14897.0,14923.0,14891.75,14900.0,24064
2023-09-25 12:00:00,14900.25,14936.25,14884.0,14928.75,19445
